Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,572,577.400024,567.200012,571.5,555.533752,5427984
25-06-2015,568.099976,577.900024,567.049988,570.049988,554.124268,5953158
26-06-2015,568.099976,569.700012,560,565.5,549.701477,4432487
29-06-2015,554,567.299988,546,562.700012,546.979675,5390158
30-06-2015,561.049988,566,553,558.950012,543.334473,5479844
01-07-2015,558.799988,580.5,556.849976,578.650024,562.484131,7663185
02-07-2015,580.099976,586.650024,576.099976,584,567.684631,9886455
03-07-2015,581.849976,588.5,581,585.950012,569.580139,4422432
06-07-2015,575.5,585.799988,573.5,584.200012,567.878967,4973984
07-07-2015,585.299988,590.75,581.349976,586.200012,569.823181,4969526
08-07-2015,578,585,574.900024,576.650024,560.539978,6414143
09-07-2015,575.849976,577.400024,566.400024,571.700012,560.197021,3602432
10-07-2015,574.200012,583,570.799988,578.099976,566.468201,6853759
13-07-2015,578.099976,583.450012,570.150024,581.950012,570.240784,5161182
14-07-2015,582.599976,587.650024,578.900024,583.900024,572.15155,4566647
15-07-2015,584.549988,589.450012,581.5,584,572.249512,3307716
16-07-2015,587.400024,613.450012,587,608.650024,596.403564,14142842
17-07-2015,604.5,609.900024,598.5,602.099976,589.985291,5847889
20-07-2015,600,603.400024,590.299988,599.900024,587.82959,4688323
21-07-2015,596.599976,601,582.75,584.650024,572.886414,4375934
22-07-2015,582.849976,593.5,579,589.849976,577.981812,5900119
23-07-2015,590,598.549988,581.400024,583.75,572.004578,5569255
24-07-2015,587.650024,593.75,575.099976,580.450012,568.770996,13673495
27-07-2015,577.5,579.450012,553.75,555.799988,544.616882,9829067
28-07-2015,558.599976,564,550.450012,561.25,549.957275,8129213
29-07-2015,563.299988,568.150024,562,567.200012,555.787537,4635380
30-07-2015,571.400024,575.75,563.099976,565.700012,554.317688,6484751
31-07-2015,567.700012,579.299988,567,573.5,561.960815,6283549
03-08-2015,576,582.700012,573.400024,576.700012,565.096436,4355574
04-08-2015,578.900024,584.450012,571.650024,580.099976,568.427979,5903968
05-08-2015,582,589.5,576.5,580.400024,568.721985,3419273
06-08-2015,580,586.5,578.950012,584.75,572.984436,3125993
07-08-2015,584.900024,584.900024,576,580.299988,568.623901,2298504
10-08-2015,582.75,584.700012,570.75,575.900024,564.3125,2402572
11-08-2015,577.700012,580.849976,566.349976,571.25,559.756042,3168648
12-08-2015,569.400024,569.799988,556,557.849976,546.625671,4787034
13-08-2015,563.5,571.450012,560,567.549988,556.130493,5982710
14-08-2015,565.150024,574.25,554.849976,570,558.531189,7528941
17-08-2015,569.75,571.75,560.049988,561.400024,550.104248,4466163
18-08-2015,567,567.25,555.5,561.349976,550.055237,2952439
19-08-2015,560.900024,561.75,552.799988,554,542.853088,4135059
20-08-2015,550,553,529.5,533.400024,522.667603,8909772
21-08-2015,527,528.900024,514.299988,525.299988,514.730652,10454764
24-08-2015,506.700012,506.700012,475.100006,482.049988,472.3508,17627734
25-08-2015,489,506.25,483.5,502.950012,492.830292,14248966
26-08-2015,499.5,501.899994,488.649994,495.600006,485.628174,6910566
27-08-2015,505.700012,512,496.450012,509.25,499.00354,11302689
28-08-2015,516,528.900024,502.25,508.149994,497.925659,10015309
31-08-2015,506.700012,517.900024,502,507.75,497.533722,6111825
01-09-2015,500,501,477.149994,480.100006,470.440033,8843551
02-09-2015,483.049988,488,464.600006,466.600006,457.21167,11537443
03-09-2015,471,489.5,468.75,486.899994,477.10321,8651466
04-09-2015,483.100006,483.399994,462.5,468,458.583496,8969600
07-09-2015,469.649994,472.200012,446.75,449.850006,440.798706,9743637
08-09-2015,452.25,475.600006,450,473.899994,464.364807,12602488
09-09-2015,484.200012,495,475.100006,486.25,476.466309,11672474
10-09-2015,477.799988,487,472.100006,482.600006,472.889771,8384392
11-09-2015,488,493.700012,474.600006,481.25,471.566925,7212180
14-09-2015,480,498,479.25,496.200012,486.216095,5537347
15-09-2015,497.100006,498.5,480.850006,481.899994,472.203857,9567400
16-09-2015,487.450012,497,486,494.25,484.305328,7293528
18-09-2015,500,520.400024,500,517.450012,507.038544,18814281
21-09-2015,510.549988,530,508.75,528,517.376282,7516002
22-09-2015,531,534.700012,505.200012,509.700012,499.444489,7358434
23-09-2015,498.75,514.849976,497.100006,511.700012,501.404236,7602683
24-09-2015,510,518.200012,506.200012,513.950012,503.608978,6911468
28-09-2015,514.5,522,505,506.700012,496.504852,6526803
29-09-2015,499.899994,513.5,485,504.5,494.349091,19935063
30-09-2015,508.799988,510,491.5,495.649994,485.677155,12199436
01-10-2015,500,503.450012,490.899994,496.25,486.265076,8137042
05-10-2015,504.5,514.900024,501.549988,513.25,502.923065,9558125
06-10-2015,517.349976,518.549988,505,506.399994,496.210876,8226452
07-10-2015,503.25,509.799988,495,496.799988,486.804016,11251639
08-10-2015,500,500.450012,484.200012,491.5,481.610657,9941551
09-10-2015,495,499.25,486.75,490.450012,480.581818,10368020
12-10-2015,497.799988,497.799988,485.100006,487.049988,477.250183,5566595
13-10-2015,487,492.100006,485,490.899994,481.022736,7268043
14-10-2015,489.700012,496.799988,488.049988,495.5,485.530182,5645540
15-10-2015,497,502,495.549988,498.700012,488.665833,5251039
16-10-2015,494.5,507.5,491.399994,505,494.83905,5875167
19-10-2015,502,508.799988,501.149994,506.649994,496.455841,4242869
20-10-2015,504.600006,513.299988,504.600006,509.399994,499.150513,5729459
21-10-2015,509.299988,514.75,505,511.75,501.453217,6245542
23-10-2015,515.25,527.5,515.25,525.650024,515.073608,11628906
26-10-2015,528.849976,532.700012,519.200012,521.049988,510.566132,8015119
27-10-2015,517.25,528.5,515.650024,521.799988,511.301025,13011580
28-10-2015,495.700012,495.700012,476.549988,482.899994,473.183716,33157058
29-10-2015,485,486.399994,467.049988,468.950012,459.514404,22054683
30-10-2015,472,478.399994,465,475.399994,465.834625,16103533
02-11-2015,477.799988,479.850006,473.100006,478.25,468.627289,10316509
03-11-2015,481,483.5,473.350006,474.649994,465.099731,9337442
04-11-2015,480,480.100006,470.600006,472.5,462.99295,6319148
05-11-2015,472,472,462,463.799988,454.467987,8078032
06-11-2015,462,467.5,459.5,465.149994,455.790863,9185858
09-11-2015,453,467,445.899994,464.950012,455.59491,9643857
10-11-2015,463,473.5,462.25,468.350006,458.926483,7040567
13-11-2015,475.399994,487.200012,472.299988,484.950012,475.192474,10014779
16-11-2015,484,485,477,481.450012,471.762909,6488927
17-11-2015,484.75,485,473.049988,475.600006,466.030609,5944197
18-11-2015,474.700012,476.700012,462.200012,463.549988,454.223022,6081331
19-11-2015,468,468,460.100006,463.049988,453.733093,8717250
20-11-2015,462.950012,465.350006,458.25,459.850006,450.597504,11446890
23-11-2015,461,464.25,458.700012,462.700012,453.390137,7774882
24-11-2015,462.850006,466.950012,462.700012,463.850006,454.516998,5388027
26-11-2015,465.100006,468.549988,464.5,465.299988,455.937836,26648537
27-11-2015,467,475.399994,466.100006,471,461.523163,10288912
30-11-2015,469.25,474.399994,468.100006,468.649994,459.220428,8926273
01-12-2015,471,471.350006,458.149994,461.600006,452.312286,11177827
