Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,1544.900024,1550,1499,1501.900024,1496.430176,21099
25-06-2015,1496.650024,1517,1484,1511.199951,1505.696289,56305
26-06-2015,1501.150024,1523.199951,1487.699951,1500.599976,1495.134766,139871
29-06-2015,1435.150024,1549.900024,1435.150024,1514.550049,1509.034058,66320
30-06-2015,1501.050049,1540,1501.050049,1532.099976,1526.52002,15791
01-07-2015,1527.650024,1560,1527.650024,1557.599976,1551.927246,27578
02-07-2015,1560,1624,1560,1602.300049,1596.464478,74155
03-07-2015,1605,1710,1605,1682,1675.874268,69680
06-07-2015,1675,1787.199951,1656,1719.25,1712.988525,87565
07-07-2015,1725.199951,1785,1720,1766,1759.568359,84481
08-07-2015,1758,1783.900024,1735,1759.150024,1752.743286,39600
09-07-2015,1757,1779.900024,1700.25,1708.75,1704.222168,25564
10-07-2015,1703,1738.800049,1690.949951,1725.199951,1720.62854,40691
13-07-2015,1715.099976,1738.800049,1715.099976,1728.650024,1724.069458,14487
14-07-2015,1725,1760,1721.599976,1738.449951,1733.843506,16382
15-07-2015,1755,1781.5,1745.25,1767.900024,1763.215454,31351
16-07-2015,1778.900024,1783,1730,1740.800049,1736.187256,16759
17-07-2015,1740.050049,1745.800049,1705.199951,1719.849976,1715.292725,20290
20-07-2015,1723,1747.25,1663.849976,1703.300049,1698.786621,49296
21-07-2015,1715.599976,1725,1672.199951,1686.199951,1681.731812,12983
22-07-2015,1691,1724,1665.25,1677,1672.556274,39046
23-07-2015,1730,1760,1715,1729.599976,1725.016846,178823
24-07-2015,1745,1790,1719,1726.900024,1722.323975,77428
27-07-2015,1720,1739,1705.849976,1716.550049,1712.001587,31180
28-07-2015,1720.150024,1744,1716,1730.25,1725.665405,44953
29-07-2015,1730.400024,1835,1730.400024,1813.650024,1808.84436,167630
30-07-2015,1829.849976,1857.699951,1815,1833.150024,1828.29248,91745
31-07-2015,1845,1870,1833,1845.699951,1840.809326,79009
03-08-2015,1859,1922.699951,1846.050049,1905.050049,1900.002075,94503
04-08-2015,1922,2160,1909,2026.650024,2021.279907,256964
05-08-2015,2047,2050,1969.900024,1991.050049,1985.77417,82037
06-08-2015,1992.099976,2007.949951,1905.5,1925.900024,1920.796875,65897
07-08-2015,1944.900024,2036,1940,2010.050049,2004.723755,144193
10-08-2015,2011,2025.050049,1992.25,2003.349976,1998.041504,49589
11-08-2015,2003,2039,1968.900024,2005.849976,2000.534912,46782
12-08-2015,2005,2014,1963.599976,1986.849976,1981.585083,61326
13-08-2015,1986,2052.850098,1920,1935.349976,1930.22168,191726
14-08-2015,1969.949951,1990,1938,1972.349976,1967.123657,25047
17-08-2015,1956.849976,1990,1930,1942.800049,1937.651978,31682
18-08-2015,1949.800049,1951,1915,1920.599976,1915.510864,19794
19-08-2015,1924,1933,1875,1883.949951,1878.957886,30928
20-08-2015,1880.050049,1927,1861,1879.349976,1874.370239,231540
21-08-2015,1861.900024,1895,1825,1878,1873.02356,34214
24-08-2015,1849.949951,1849.949951,1680.650024,1714.699951,1710.156494,103171
25-08-2015,1718,1749.849976,1662,1708.25,1703.723511,84903
26-08-2015,1702,1784,1702,1714,1709.458252,38691
27-08-2015,1725.099976,1795,1724.949951,1744.650024,1740.0271,33103
28-08-2015,1755,1846.949951,1755,1815.050049,1810.240479,99814
31-08-2015,1805,1878,1770,1809.800049,1805.004395,29319
01-09-2015,1800,1846,1764.050049,1772.599976,1767.903076,52979
02-09-2015,1783,1819.800049,1762.050049,1785.25,1780.519531,62082
03-09-2015,1795.199951,1871,1789.949951,1850.199951,1845.297241,43243
04-09-2015,1855.75,1910,1821.150024,1828.75,1823.904297,51729
07-09-2015,1830,1844.800049,1733,1750.5,1745.861572,66150
08-09-2015,1754.599976,1764.949951,1677.050049,1750,1745.362915,91688
09-09-2015,1780,1839.900024,1780,1811.150024,1806.35083,28598
10-09-2015,1755.050049,1815,1724,1805.25,1800.466431,55623
11-09-2015,1813.099976,1834.150024,1783,1790.25,1785.506104,14574
14-09-2015,1795,1893,1795,1881.550049,1876.564331,76721
15-09-2015,1898.449951,1898.449951,1860,1862.300049,1857.365356,30597
16-09-2015,1899.949951,1915.099976,1831,1842.449951,1837.567749,27918
18-09-2015,1874.949951,1881,1786,1834.5,1829.638916,184944
21-09-2015,1850,1854.5,1758.900024,1785.949951,1781.217651,103215
22-09-2015,1799.949951,1830,1775.300049,1784.75,1780.020752,55333
23-09-2015,1766.050049,1795.800049,1744.050049,1763.650024,1758.976685,33116
