Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,19250,19460.90039,19042.30078,19123.5,18451.50195,98439
25-06-2015,19165,19585,19165,19483.69922,18799.04688,183590
26-06-2015,19495,19678,19300,19561.69922,18874.30469,40840
29-06-2015,19201.59961,19399,19027.59961,19298.19922,18620.0625,42573
30-06-2015,19279.80078,19699.90039,19250.09961,19586.69922,18898.42578,57754
01-07-2015,19742,20450,19691,20352.30078,19637.125,121904
02-07-2015,20400,21340,20400,21257.69922,20510.70898,160162
03-07-2015,21394,21555.09961,20195,20275.59961,19563.12109,198658
06-07-2015,20100,20545,19900.19922,20334.30078,19619.75977,95173
07-07-2015,20473,20548.90039,20200,20362.59961,19647.06055,57023
08-07-2015,20200.09961,20612.59961,20125.09961,20482.59961,19762.84375,71944
09-07-2015,20549.90039,20711.59961,20490.09961,20641.19922,19915.86914,53519
10-07-2015,20725,20800,20590,20765.09961,20035.41602,44718
13-07-2015,20802,21210,20802,21160.19922,20416.63281,53025
14-07-2015,21194.90039,21194.90039,20700,20773.90039,20043.91016,59594
15-07-2015,20774.90039,20819.90039,20605,20718.30078,19990.26367,40510
16-07-2015,20750,21156,20720,21078.80078,20338.09766,41452
17-07-2015,21230,21230,20932.19922,21100.69922,20359.22461,27049
20-07-2015,21190,21317.90039,21000,21248.09961,20501.44727,35446
21-07-2015,21251,21620,21250,21348.30078,20598.125,62099
22-07-2015,21385,21435,20735,21109.69922,20367.91016,113005
23-07-2015,21063,21063,20361.19922,20538.19922,19816.49023,67720
24-07-2015,20410,20597.90039,20050,20113.80078,19407.00391,81396
27-07-2015,19901.19922,19960,19264.19922,19347.90039,18668.01758,116335
28-07-2015,19445,19635,19132.5,19499.40039,18814.19531,84909
29-07-2015,19600,19723.80078,19151.19922,19246.19922,18569.89258,84257
30-07-2015,19394,19551,18907.90039,19027.90039,18359.26367,87794
31-07-2015,19165,19250.09961,18695,19071.19922,18401.03906,103394
03-08-2015,19500,19500,19036.19922,19083.09961,18412.52148,63261
04-08-2015,19108,20300,18955.09961,20178.09961,19469.04688,137504
05-08-2015,20480,20719,20061,20566.59961,19843.89258,118832
06-08-2015,20560,20673,20375.19922,20572.30078,19849.39453,44918
07-08-2015,20590,20769,20429.19922,20631.59961,19906.60938,35945
10-08-2015,20600,20759.90039,20200,20364.59961,19648.99023,36640
11-08-2015,20389,20519.90039,19810,20163.19922,19454.66602,46208
12-08-2015,20080.09961,20130,19733,19849.19922,19151.70313,37567
13-08-2015,19870.5,20268,19810.19922,19902.69922,19203.32227,43966
14-08-2015,20048,20679.80078,19955.09961,20600.59961,19876.69727,55123
17-08-2015,20630,20750,20348,20664.80078,19938.64453,40248
18-08-2015,20850.40039,21040,20671,20944.59961,20208.60938,48890
19-08-2015,20985,21360,20750.19922,21235.5,20489.28711,52139
20-08-2015,21248,21596,20916.40039,21017.59961,20279.04492,68608
21-08-2015,20898,20898,20300,20464.80078,19745.67188,74515
24-08-2015,19964.80078,19965,17821,18585.5,17932.41016,128917
25-08-2015,18851.09961,19195.90039,17900,18698.90039,18041.82227,138587
26-08-2015,18689.90039,19194.90039,18499.90039,18567,17914.56055,75480
27-08-2015,18950,19499.80078,18723.19922,18771.59961,18111.96875,68978
28-08-2015,19000,19145.80078,18533.09961,18919.19922,18254.38281,75797
31-08-2015,18944,19189.69922,18772.09961,19014.80078,18346.62305,150093
01-09-2015,18890,19088,18034.19922,18259.30078,17617.67383,101060
02-09-2015,18435,18720,18230,18377.19922,17731.42773,94084
