Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,2517.5,2547,2510.100098,2521,2153.040527,320799
25-06-2015,2530,2575,2527,2552.100098,2179.601563,400609
26-06-2015,2550,2566.600098,2521,2539.199951,2168.584229,200634
29-06-2015,2508,2556,2500,2535.75,2165.637451,355916
30-06-2015,2542,2554,2502,2523.5,2155.175781,325449
01-07-2015,2525.100098,2534.949951,2500.399902,2520.600098,2152.69873,401143
02-07-2015,2521.5,2568,2521,2528.300049,2159.275146,423277
03-07-2015,2540,2584.949951,2530,2576.649902,2200.568115,271136
06-07-2015,2566,2624.949951,2555.75,2613.399902,2231.954102,307013
07-07-2015,2625,2639,2560,2563.75,2189.550781,425371
08-07-2015,2549.550049,2582.899902,2516.550049,2549.899902,2177.722656,510583
09-07-2015,2540.100098,2609.949951,2540.100098,2604.75,2224.56665,418181
10-07-2015,2609,2618.75,2566,2571.550049,2196.212402,401799
13-07-2015,2580,2609,2550.100098,2600.199951,2220.680908,229719
14-07-2015,2610,2649.899902,2592,2638.699951,2253.561279,324900
15-07-2015,2648.949951,2670.899902,2648,2658.25,2270.258057,145475
16-07-2015,2658,2666,2626,2649.300049,2262.614258,201208
17-07-2015,2652.949951,2678,2641.300049,2649.399902,2262.699463,180187
20-07-2015,2666.800049,2675,2654,2661.899902,2273.375244,165950
21-07-2015,2661.899902,2695,2658.550049,2687.25,2295.025391,156870
22-07-2015,2686,2719.899902,2670.350098,2711,2315.308594,196253
23-07-2015,2710,2730,2674,2717.600098,2320.945557,296483
24-07-2015,2700,2748.800049,2700,2740.399902,2340.41748,336553
27-07-2015,2749.449951,2749.449951,2595,2605.050049,2224.822998,453942
28-07-2015,2612.199951,2631.449951,2501.100098,2531.5,2162.008057,614008
29-07-2015,2538.699951,2581,2506.300049,2569.850098,2194.760742,412275
30-07-2015,2570,2627.350098,2565,2580.350098,2203.728027,1025263
31-07-2015,2599.949951,2698.5,2585.449951,2682.699951,2291.13916,471113
03-08-2015,2656,2718,2602.350098,2697.100098,2303.437744,861266
04-08-2015,2790,2793.800049,2613.649902,2623.850098,2240.878906,1657551
05-08-2015,2637,2674.899902,2628.449951,2666,2276.877197,404556
06-08-2015,2682,2682,2639,2651.100098,2264.151855,247050
07-08-2015,2633.050049,2669.5,2633.050049,2661.850098,2273.33252,175465
10-08-2015,2664.600098,2729.899902,2662.550049,2703.949951,2309.288086,431904
11-08-2015,2709.100098,2718.649902,2668.800049,2688.399902,2296.00708,682348
12-08-2015,2665,2697,2622.050049,2634.800049,2250.230713,347945
13-08-2015,2637.5,2684,2619.199951,2646.5,2260.223389,346709
14-08-2015,2663,2722.199951,2641.199951,2712.449951,2316.546875,316094
17-08-2015,2718,2720.149902,2641,2650.25,2263.425293,191264
18-08-2015,2651.199951,2676.699951,2635.100098,2641,2255.525635,142927
19-08-2015,2630.550049,2708.949951,2616.300049,2684.699951,2292.847168,200364
20-08-2015,2650,2664.350098,2621.300049,2629.100098,2245.362793,239882
21-08-2015,2615,2657.949951,2535,2555.050049,2182.121094,536661
24-08-2015,2512,2518.949951,2400,2472.550049,2111.662598,589441
25-08-2015,2475.149902,2518.699951,2404.800049,2464.5,2104.787109,588828
26-08-2015,2447,2450,2367.050049,2392.699951,2043.466797,1271762
27-08-2015,2418,2418,2364.25,2377.800049,2030.741943,937972
28-08-2015,2399.5,2428.949951,2377.800049,2398.600098,2048.505615,318325
31-08-2015,2380,2415,2380,2397.199951,2047.310547,358188
01-09-2015,2370,2395.399902,2353.050049,2383.850098,2035.909058,367859
02-09-2015,2365,2389.800049,2300.449951,2338.699951,1997.348511,493940
03-09-2015,2356,2362.5,2315.100098,2322.350098,1983.385498,260650
04-09-2015,2323.600098,2329.949951,2265.550049,2290.850098,1956.482666,424019
07-09-2015,2300,2311.100098,2257.199951,2280.600098,1947.728882,257462
08-09-2015,2292,2327.649902,2282.300049,2313.199951,1975.570557,174954
09-09-2015,2341,2369.800049,2333.100098,2344.300049,2002.131348,208014
10-09-2015,2327,2364.649902,2300,2348.600098,2005.803955,222191
11-09-2015,2350.100098,2367.850098,2332.100098,2343.050049,2001.064453,193787
14-09-2015,2339.949951,2359.699951,2320,2349.5,2006.572266,116680
15-09-2015,2339.699951,2341.649902,2305.050049,2310.550049,1973.307373,330037
16-09-2015,2326.199951,2383.899902,2318,2368.350098,2022.671265,399414
18-09-2015,2378.800049,2446.5,2375.149902,2428.5,2074.041992,753722
21-09-2015,2388.300049,2447.800049,2388.300049,2423.699951,2069.942627,239281
22-09-2015,2426.25,2449.850098,2375.300049,2388.949951,2040.26416,380613
23-09-2015,2379.550049,2406.600098,2379.550049,2400.949951,2050.512939,362950
24-09-2015,2400,2419.949951,2372.600098,2381.699951,2034.07251,391877
28-09-2015,2383.199951,2389.899902,2335.800049,2349.5,2006.572266,325138
29-09-2015,2311,2370.5,2301.600098,2329.25,1989.277832,460978
30-09-2015,2359,2408.300049,2310.5,2394.5,2045.004395,431516
01-10-2015,2400,2472.699951,2400,2412.050049,2059.99292,541532
05-10-2015,2449.899902,2517.899902,2435,2502,2136.813965,383373
06-10-2015,2520,2553,2511,2532.350098,2162.734131,295211
07-10-2015,2535,2555.5,2495.050049,2540.75,2169.907959,202418
08-10-2015,2541,2561.75,2523.300049,2541.600098,2170.634033,146872
09-10-2015,2565,2582,2553,2564.850098,2190.490479,147737
12-10-2015,2567,2596.5,2544,2552.949951,2180.326904,98041
13-10-2015,2555,2563.600098,2525,2538.75,2168.199707,178225
14-10-2015,2539.75,2549,2492.800049,2500,2135.105469,184215
15-10-2015,2513.949951,2579.800049,2500,2564.050049,2189.807373,172463
16-10-2015,2570.399902,2590,2558.800049,2584,2206.844971,137066
19-10-2015,2587,2620.199951,2555.75,2612.050049,2230.80127,183298
20-10-2015,2617,2627.850098,2586.550049,2606.199951,2225.804932,369501
21-10-2015,2658.899902,2667.600098,2590,2622.800049,2239.982666,643276
23-10-2015,2635.25,2643,2588.100098,2596.050049,2217.136475,205893
26-10-2015,2602.899902,2633,2597.600098,2620.550049,2238.060547,197884
27-10-2015,2614.949951,2644,2586.699951,2620.100098,2237.67627,357084
28-10-2015,2630,2632.800049,2595.25,2626.050049,2242.757813,199328
29-10-2015,2616.100098,2637.300049,2603.199951,2626.649902,2243.270508,265627
30-10-2015,2620,2629.600098,2563.699951,2581.399902,2204.624756,341083
02-11-2015,2575.199951,2584.399902,2532.699951,2545.850098,2174.263672,367201
03-11-2015,2556.949951,2597,2536.199951,2582.75,2205.777832,226406
04-11-2015,2600,2634.199951,2592,2621.050049,2238.487305,223537
05-11-2015,2617.850098,2658.600098,2606.100098,2638.699951,2253.561279,229100
06-11-2015,2642,2674.899902,2600.100098,2639.850098,2254.543457,359043
09-11-2015,2605.050049,2649.899902,2596.100098,2614.100098,2232.552002,138190
10-11-2015,2608,2671,2605.100098,2663.699951,2274.912598,218330
13-11-2015,2645,2650,2611,2615.399902,2233.662109,155474
16-11-2015,2615,2645,2580,2611.699951,2230.502197,153495
17-11-2015,2603.050049,2618.399902,2575,2597.949951,2218.759033,196186
18-11-2015,2590,2604.5,2567.149902,2574.850098,2199.031006,165550
19-11-2015,2618.75,2683.800049,2581.449951,2589.699951,2211.713623,736910
20-11-2015,2600,2639,2556.300049,2562.850098,2188.782227,747678
23-11-2015,2572,2667,2572,2636.649902,2251.810547,724326
