Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,834.25,854.5,834.25,844.5,819.689697,905000
25-06-2015,844.5,885.450012,841.75,867.150024,841.674316,1929219
26-06-2015,864.400024,884.700012,851,869.400024,843.858215,1457184
29-06-2015,859.5,864,841.099976,859.599976,834.346191,696937
30-06-2015,860.950012,874.799988,855,872.700012,847.06134,738228
01-07-2015,872.599976,886,862,875.549988,849.827637,832607
02-07-2015,883.400024,883.400024,868,869.75,844.197998,688412
03-07-2015,858,900.549988,858,893.5,871.257202,1092421
06-07-2015,883.799988,901.25,877,899.299988,876.912842,940588
07-07-2015,896,912,895,898.950012,876.571472,698569
08-07-2015,881.950012,896,873.900024,892.400024,870.184631,719187
09-07-2015,891.849976,897.400024,875.25,893,870.769653,1043039
10-07-2015,897.900024,904,887,894.950012,872.671082,528685
13-07-2015,904.200012,927.700012,895.049988,923.950012,900.949219,3460092
14-07-2015,933,933.799988,919.349976,924.049988,901.046631,1362690
15-07-2015,921.349976,932,918,927.150024,904.069519,728864
16-07-2015,930,937.200012,924,932.299988,909.091309,1581760
17-07-2015,933.299988,938.75,925.099976,935.849976,912.552917,941362
20-07-2015,936,950,930.400024,947.450012,923.864258,757943
21-07-2015,947,951.25,932.799988,938.349976,914.990601,378818
22-07-2015,937.049988,960,933,956.900024,933.078918,668776
23-07-2015,954.099976,964.900024,945,949.799988,926.15564,714586
24-07-2015,949,966.5,945.450012,955.849976,932.055054,1061478
27-07-2015,949.799988,953,929.099976,938.299988,914.941956,568643
28-07-2015,941.049988,952.25,930.75,949.849976,926.204346,1002593
29-07-2015,949,959,944.549988,953.599976,929.861023,900217
30-07-2015,959,982.650024,956.400024,973.700012,949.460754,1155545
31-07-2015,975,989.299988,970.150024,977.700012,953.361145,994608
03-08-2015,978,986,966.599976,973.849976,949.606873,826349
04-08-2015,973,973,940.049988,952.299988,928.593384,1183219
05-08-2015,958,962.5,948.599976,952.650024,928.934692,496812
06-08-2015,952.700012,958.299988,946.349976,951.599976,927.910828,516457
07-08-2015,949.900024,959.599976,942,946.950012,927.274292,452556
10-08-2015,946.5,958,936.650024,944.400024,924.777344,547548
11-08-2015,945.099976,952.950012,939.549988,950.700012,930.946411,535103
12-08-2015,946.900024,953.75,906.25,914.450012,895.449646,458811
13-08-2015,911.849976,933.799988,910,925.299988,906.074219,590548
14-08-2015,935,963.5,928.25,959,939.074036,935467
17-08-2015,959.950012,964.700012,944.599976,951.75,931.974548,595833
18-08-2015,954,971.5,950.299988,968.200012,948.082825,594739
19-08-2015,965.75,969.900024,954.150024,957.450012,937.556274,593595
20-08-2015,948,961.5,918.049988,932.099976,912.732849,591055
21-08-2015,915,924.950012,893.299988,905.25,886.440857,1314813
24-08-2015,880,880,850.099976,865.599976,847.614563,1626974
25-08-2015,875,884,865.599976,878.049988,859.805908,1189117
26-08-2015,876.900024,876.900024,848.450012,853.5,835.766052,1089934
27-08-2015,864,871,853.650024,858.5,840.662109,1888490
28-08-2015,870,881,830.25,847.650024,830.037537,1779090
31-08-2015,841,865,838,858.049988,840.221436,810239
01-09-2015,852.950012,852.950012,814.700012,831.5,814.223083,965840
02-09-2015,836,838.950012,809.25,824.799988,807.662354,1244494
03-09-2015,830,855,820,849.400024,831.751221,916326
04-09-2015,842.5,843.049988,817,840.799988,823.329895,943412
07-09-2015,850,859.599976,812.650024,820.200012,803.157959,1228245
08-09-2015,821.5,846.900024,816.349976,840.349976,822.889282,2536360
09-09-2015,853,870.700012,841.099976,857.950012,840.123657,2014128
10-09-2015,845.5,875,835.549988,866.900024,848.887634,1364608
11-09-2015,874.5,885.900024,862.150024,868.700012,850.650208,1412833
14-09-2015,868,880,868,876.25,858.043274,1144929
15-09-2015,875.900024,886.900024,871.099976,878.650024,860.393555,1937337
16-09-2015,886,907.5,884.75,899.099976,880.418579,1151193
18-09-2015,905.299988,930.5,905,918.650024,899.562378,2094161
21-09-2015,905,924.900024,905,913.5,894.519409,683274
22-09-2015,919,921,875.5,888.049988,869.598083,808319
23-09-2015,875,907.900024,873,905.549988,886.734497,955777
24-09-2015,908,932.099976,896.349976,926.900024,907.640991,2909599
28-09-2015,927,937.599976,916.150024,920.900024,901.765625,1690643
29-09-2015,912.799988,958,901.299988,941.349976,921.790649,3261855
30-09-2015,956.849976,958.099976,939.549988,942.450012,922.867798,2038714
01-10-2015,950,963.25,941.75,957.599976,937.703003,1251550
05-10-2015,966,969.900024,952.450012,959.700012,939.75946,1399766
06-10-2015,964,964,946.75,952.200012,932.415283,1149797
07-10-2015,952.75,954.650024,941.200012,948.349976,928.645264,1390453
08-10-2015,951,953.599976,936.200012,944.799988,925.169006,1367019
09-10-2015,954.799988,957.200012,934.25,940.049988,920.5177,3827106
12-10-2015,944,958,940,944.599976,924.973206,1028185
13-10-2015,948,949.650024,936.5,945.950012,926.295227,819594
14-10-2015,947,962,945.950012,949.900024,930.163086,1071537
15-10-2015,953.900024,966,952.099976,957.799988,937.898865,1103270
16-10-2015,958,966,950.049988,964.450012,944.410706,744451
19-10-2015,964.5,973.349976,959.099976,962.049988,942.060608,811801
20-10-2015,960.5,970.099976,953.099976,956.700012,936.821777,702126
21-10-2015,958,967.75,951.900024,957.450012,937.556274,737124
23-10-2015,963,966.25,957.150024,959.799988,939.8573,329508
26-10-2015,964,964.900024,956,957.950012,938.045776,774154
27-10-2015,955.200012,959.650024,951,954,934.177917,529820
28-10-2015,949,963.5,918.950012,924.200012,904.997009,1653036
29-10-2015,920.049988,923.799988,908.5,914.5,895.498596,1155093
30-10-2015,914,922.25,902.349976,911.900024,892.952698,905083
02-11-2015,911.900024,916.849976,904.200012,913.650024,894.666321,777036
03-11-2015,914.950012,921,908.5,911.849976,892.903625,1077484
04-11-2015,915.349976,919.400024,909.25,913.700012,894.715271,539364
05-11-2015,911,912.799988,901.25,907.450012,888.595093,1329817
06-11-2015,911,924,908.599976,920.950012,901.814575,1027490
09-11-2015,903,925.599976,900,923.400024,904.213745,1281696
10-11-2015,914,917.900024,891,893.75,875.17981,1005017
13-11-2015,888.900024,895.75,880,892.25,873.710938,780686
16-11-2015,889.400024,917.549988,889.400024,912.400024,893.442261,641386
17-11-2015,915.299988,916.349976,901,906.25,887.419983,370477
18-11-2015,905,913,897.400024,901.049988,882.328064,720317
19-11-2015,909,917.349976,900.650024,914.150024,895.155884,654116
20-11-2015,914.150024,931.5,910,921.849976,902.695801,1277692
23-11-2015,923,929.950012,918.049988,919.700012,900.590576,561734
24-11-2015,918.75,928,912.049988,919.549988,900.443665,758435
26-11-2015,922.900024,924.099976,913.5,915.549988,896.526794,1010152
27-11-2015,921,926.5,910.599976,923.349976,904.164673,1152436
30-11-2015,925.400024,939,922.299988,935.25,915.817505,1180438
01-12-2015,940,945,933.5,942.650024,923.063721,856641
02-12-2015,944.5,945,935.200012,942.599976,923.014709,795995
03-12-2015,939.650024,949.5,933,946.700012,927.029541,766241
04-12-2015,940.099976,944.950012,934.849976,942.950012,923.357483,1331500
07-12-2015,943,954.400024,941,952.75,932.953857,884329
08-12-2015,948.900024,957.349976,941.5,944.200012,924.581543,768665
09-12-2015,943,949,924.299988,927.849976,908.571228,620237
10-12-2015,928.099976,932.450012,919.450012,930.099976,910.774414,978676
11-12-2015,928,937.599976,907.099976,916.150024,897.114319,1189304
