Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,690,697.5,683.099976,691.900024,690.296326,1178136
25-06-2015,687.5,707.099976,684.599976,703.299988,701.669861,2672836
26-06-2015,695,696,686.974976,690.150024,688.550354,1010374
29-06-2015,679,689.724976,671.049988,684.224976,682.639038,1065982
30-06-2015,689,701.75,687,692.900024,691.293945,1879370
01-07-2015,689.799988,715,688.5,704.125,702.492981,1844408
02-07-2015,707,719.674988,701.325012,717.674988,716.011475,1677786
03-07-2015,721.5,730.450012,709.150024,714.424988,712.769104,3296574
06-07-2015,720,732,715,721.950012,720.276672,4311906
07-07-2015,724.974976,729.5,710.575012,712.799988,711.147766,2347024
08-07-2015,703.849976,712.25,693.049988,707.099976,705.460999,2341692
09-07-2015,711,720,701.099976,705.200012,703.56543,779560
10-07-2015,707,711.5,696.700012,709.400024,707.755737,1384925
13-07-2015,712.900024,717.799988,703,715,713.342773,955100
14-07-2015,714.950012,715.25,704,710.700012,709.052734,1172753
15-07-2015,710.950012,715,707.5,712.299988,710.648987,893968
16-07-2015,713.950012,743,712.200012,741.25,739.531921,2218833
17-07-2015,737,738,727.150024,733.150024,731.450684,1157806
20-07-2015,735.200012,740,725.099976,736.599976,734.892639,823832
21-07-2015,735,744.799988,718,720.650024,718.979675,968228
22-07-2015,719.099976,733.700012,717.5,728.650024,726.961182,657798
23-07-2015,729,735.099976,718.099976,720.349976,718.680298,922877
24-07-2015,720,730,717.599976,724.700012,723.020203,749749
27-07-2015,719.5,724.5,713.099976,715,713.342773,786515
28-07-2015,717.900024,731.400024,717.5,729.400024,727.709351,845718
29-07-2015,731.950012,737.299988,721.150024,725.950012,724.267334,934479
30-07-2015,733.5,733.950012,713.799988,716.799988,715.13855,2401018
31-07-2015,697.25,708.700012,683.799988,695.400024,693.788269,4943619
03-08-2015,694.950012,705.549988,687.150024,690.200012,688.60022,1457009
04-08-2015,694,699,680.150024,690.849976,689.248718,1465951
05-08-2015,695,695.599976,683.349976,691.900024,690.296326,1479018
06-08-2015,694.200012,710,690.799988,706.799988,705.161682,1185758
07-08-2015,705.900024,712.5,701.349976,705,703.365845,877326
10-08-2015,708,716.5,702,707.299988,705.660583,966468
11-08-2015,706.849976,710.950012,699.900024,704.700012,703.06665,691182
12-08-2015,702.950012,704.25,682.549988,686.150024,684.559631,786631
13-08-2015,688,695,683.099976,690.75,689.148926,592486
14-08-2015,692.5,719.5,692,717.700012,716.036438,822516
17-08-2015,718.799988,724.75,705.5,719.799988,718.131653,762387
18-08-2015,719.849976,721.599976,699,705.099976,703.465576,473957
19-08-2015,704.700012,718.700012,697.299988,712.400024,710.748779,945270
20-08-2015,712.950012,715,693,697.450012,695.833374,815752
21-08-2015,689.599976,700,680,688,686.405334,1230793
24-08-2015,672,674.75,630.700012,647.599976,646.098938,2496993
25-08-2015,658,660.5,621.900024,639.450012,637.967834,1764531
26-08-2015,639.450012,647.5,623.299988,627.25,625.796082,1274155
27-08-2015,625,655.299988,625,650.400024,648.892517,1949517
28-08-2015,659,662,641,647.450012,645.94928,1217068
31-08-2015,642,658.900024,637.5,651.700012,650.189514,582636
01-09-2015,646.799988,647.400024,608.5,613.75,612.327393,2257583
02-09-2015,617.950012,619,601,608.700012,607.289063,1747255
03-09-2015,609.700012,629.950012,605,627.099976,625.646423,1835581
