Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,669.974976,670.950012,646.700012,651.174988,609.100464,1481094
25-06-2015,640.375,655.349976,638.75,649.900024,607.907898,2473112
26-06-2015,650.049988,658.950012,646.5,652.049988,609.918945,1320310
29-06-2015,645,647.5,638.25,642.075012,600.58844,1287240
30-06-2015,644.075012,644.775024,632.575012,641.174988,599.746582,2502056
01-07-2015,640,651,636.525024,644,602.38916,1826964
02-07-2015,646,662.400024,644.625,656.724976,614.29187,1513902
03-07-2015,660,664.950012,654,656.325012,613.917725,1733252
06-07-2015,649.5,662.724976,647.5,660.875,618.173828,1210678
07-07-2015,659,667,655.5,658.900024,616.326416,1246580
08-07-2015,656,656.049988,637.25,639.575012,598.25,2030192
09-07-2015,645.825012,645.825012,630.5,632,591.164551,958292
10-07-2015,629,635.924988,622.674988,624.775024,584.406311,3604156
13-07-2015,635,636,625.525024,633.799988,592.848145,1739946
14-07-2015,635,637,625.5,634.974976,593.947266,913798
15-07-2015,636,647,635.025024,644,602.38916,1395890
16-07-2015,639,644.849976,633.625,638.424988,608.513062,1644288
17-07-2015,641.950012,650.849976,636,648.299988,617.925354,2085314
20-07-2015,652.5,658.5,646.450012,657.200012,626.408386,1363818
21-07-2015,658.450012,661.5,644.400024,649.299988,618.878601,836144
22-07-2015,649.049988,675,647.5,671.125,639.680969,1867150
23-07-2015,674,684,672.775024,679.450012,647.615967,2399756
24-07-2015,681.349976,681.349976,662,664.849976,633.700012,719700
27-07-2015,659.5,670,655.549988,657.974976,627.147034,900076
28-07-2015,660,669.75,653.275024,657,626.217773,1242534
29-07-2015,661.950012,663.5,650,657.775024,626.956482,1372156
30-07-2015,662.825012,671.75,655.599976,658.875,628.004883,1368146
31-07-2015,664.299988,691,661.5,681.799988,649.855774,2508732
03-08-2015,677,677,666,668.950012,637.60791,831716
04-08-2015,670.650024,684.950012,668.424988,682.150024,650.189453,1124208
05-08-2015,683,694.974976,674.825012,693.424988,660.936157,1282268
06-08-2015,693.25,703.724976,686.849976,698.625,665.892517,1255418
07-08-2015,697.5,721.025024,692.5,695.150024,662.580322,4958870
10-08-2015,690,697.474976,676,679.849976,647.997192,1431622
11-08-2015,681.450012,684.474976,667.5,669.775024,638.394287,1486050
12-08-2015,669.5,669.75,647.5,649.700012,619.259888,1515180
13-08-2015,651.549988,674,650.5,669.799988,638.418091,1535240
14-08-2015,674,690.900024,672.5,689.075012,656.790039,1466162
17-08-2015,689.950012,689.950012,672.599976,675.525024,643.874817,790168
18-08-2015,677.049988,685.875,675.549988,682.474976,650.499207,844484
19-08-2015,683.5,692.349976,674.349976,682.825012,650.832825,1065202
20-08-2015,685,687.599976,663.825012,667.375,636.106689,1406780
21-08-2015,661.5,664.900024,644,661.125,630.149475,1548770
24-08-2015,642.450012,649,612.5,621.625,592.500122,2079760
25-08-2015,625,636.974976,613,625.474976,596.169861,2133382
26-08-2015,627.575012,631,602.549988,607.75,579.275269,2001506
27-08-2015,623.349976,623.5,607.5,615.099976,586.280884,4865668
28-08-2015,618.299988,623.525024,609.5,616.974976,588.068054,3995432
31-08-2015,615.5,621,605.849976,610.450012,581.848755,3746160
01-09-2015,603.75,609.174988,584.5,588.599976,561.022522,3174664
02-09-2015,592.5,593.950012,562.75,567.275024,540.696716,4493220
03-09-2015,571.974976,579,546.075012,570.325012,543.60376,2712720
04-09-2015,569,570.75,550.5,555.299988,529.282715,2989644
07-09-2015,555.5,561.200012,546.375,555.450012,529.425659,1389426
08-09-2015,555.5,581.200012,551.5,572.950012,546.105774,2745142
09-09-2015,582.549988,591.950012,575.599976,585.299988,557.877075,3132170
10-09-2015,583,591.775024,574.049988,585.049988,557.638794,1425516
11-09-2015,591.450012,597.450012,580.025024,583.25,555.923096,1622658
14-09-2015,585.299988,589.900024,576.525024,586.375,558.901794,1439596
15-09-2015,583.049988,585.875,572.549988,575.950012,548.96521,1468462
16-09-2015,579.5,585,575.525024,583.974976,556.614197,1953384
18-09-2015,587.525024,607.450012,584.875,599.625,571.530945,5269170
21-09-2015,591,598.974976,588.525024,592.650024,564.882751,2274848
22-09-2015,598.5,601.200012,589.375,593.700012,565.883545,4025672
23-09-2015,587.5,610.75,586.525024,604.125,575.820129,3068924
24-09-2015,602.5,616.5,598.75,610.5,581.896423,4290468
28-09-2015,612.474976,619.900024,606.424988,610.799988,582.182312,1689472
29-09-2015,603,639.549988,600.799988,624.849976,595.574097,6506062
30-09-2015,625.549988,634.424988,622.799988,631.900024,602.293823,5297210
01-10-2015,638.5,639,621.575012,625.025024,595.740967,2110700
05-10-2015,627.75,640,627.75,635.349976,605.582153,2226118
06-10-2015,638.5,645,629.625,632.125,602.508179,2787718
07-10-2015,630.525024,649.474976,630,643.924988,613.755371,1427976
08-10-2015,647.224976,647.375,633.599976,636.325012,606.511475,9205452
09-10-2015,640,643.799988,633.224976,636.674988,606.845032,1427498
12-10-2015,635.075012,641.25,630,637.450012,607.583801,1496340
13-10-2015,636.049988,645,635,641.474976,611.420166,2852984
14-10-2015,641.474976,645,636.5,644.049988,613.874512,567184
15-10-2015,646,650.700012,633.650024,637.424988,607.559875,2148492
16-10-2015,639,647.474976,634.125,644.424988,614.231934,1478824
19-10-2015,645,649.950012,637.974976,640.625,610.609985,1646242
20-10-2015,641,642,623.525024,625.325012,596.026794,3016880
21-10-2015,623.974976,631.900024,616,628.325012,598.886292,1502156
23-10-2015,633.299988,639.974976,620.200012,623.325012,594.120544,1629182
26-10-2015,625,629.950012,618.325012,622.650024,593.477173,1165248
27-10-2015,621,630.174988,616.650024,625.025024,595.740967,1624822
28-10-2015,621,626.599976,610.099976,613.450012,584.708252,3883340
29-10-2015,614,618.5,607,613.900024,585.137146,2387748
30-10-2015,611.25,613.424988,586.650024,591.799988,564.072571,1933272
02-11-2015,600.025024,618.25,600.025024,604.424988,576.106018,2576854
03-11-2015,605.950012,617.75,605.25,616.474976,587.591431,1311030
04-11-2015,616.474976,629.75,616.474976,627.150024,597.766357,908280
05-11-2015,625.5,634.875,622.799988,629.875,600.363647,1734508
06-11-2015,627.5,634.5,606.5,624.775024,595.502625,2328754
09-11-2015,610.5,632.5,607.275024,624.549988,595.288147,1149942
10-11-2015,623.549988,634,617.75,630.575012,601.030884,1205674
13-11-2015,622.700012,629.75,621.349976,625.700012,596.384277,3279020
16-11-2015,625,644.325012,619.099976,638.950012,609.013489,4053098
17-11-2015,639.5,649,634.75,644.400024,614.208191,3017600
18-11-2015,642.5,652,637.150024,639.150024,609.204102,1383404
19-11-2015,642.549988,648.974976,637.575012,646.049988,615.780823,921622
20-11-2015,646.049988,662.5,645.650024,657.625,626.813477,3969672
23-11-2015,657.625,667.150024,653.599976,661.75,630.745178,1826316
24-11-2015,661.75,662.974976,655.900024,659.775024,628.862732,2482202
26-11-2015,662.474976,676.974976,658.5,673.125,641.587341,1818860
27-11-2015,678,686,674.700012,675.599976,643.946289,3275350
30-11-2015,676.5,684.900024,675.849976,682.75,650.761292,4884086
01-12-2015,685,690.75,678.25,684.450012,652.381653,2366346
02-12-2015,687.5,688.474976,681.75,685.224976,653.120361,2032040
03-12-2015,684.25,684.375,670.299988,672.849976,641.325134,1129668
04-12-2015,667.799988,671.599976,656.125,657.650024,626.837341,1567306
07-12-2015,659.25,665.700012,653.849976,661.849976,630.840515,1126844
08-12-2015,660,666.424988,651.049988,657.125,626.336914,1853618
09-12-2015,656.5,664.400024,653.075012,656.049988,625.312256,2248652
10-12-2015,657,659.875,642,645.349976,615.113586,1494658
11-12-2015,643,647.950012,622,630.950012,601.388306,1292080
14-12-2015,615.549988,648.150024,614.25,642.400024,612.301819,2761612
15-12-2015,647.5,652.224976,639.075012,644.525024,614.327271,1552806
16-12-2015,627.625,627.625,604.25,609.025024,580.490601,6682490
17-12-2015,607.5,627.150024,597.75,623.775024,594.5495,4996832
18-12-2015,622.525024,629.224976,617.525024,621.650024,592.524048,2740974
21-12-2015,620,642,620,639.424988,609.466187,1876456
22-12-2015,638.424988,638.424988,626.575012,628.275024,598.838623,1222278
23-12-2015,630.25,635.099976,623.625,625.924988,596.598755,1002636
24-12-2015,626.125,635.5,626.125,628.875,599.410522,693062
28-12-2015,630,633.049988,622.5,624.700012,595.431152,1232286
29-12-2015,625,634.950012,625,632.299988,602.674988,862010
30-12-2015,632.525024,637.450012,629.525024,631.5,601.912537,940950
31-12-2015,629.5,638.924988,627.650024,636.174988,606.368469,1163700
01-01-2016,635.974976,639.724976,630,632.674988,603.032471,486818
04-01-2016,631.5,631.5,619.849976,621.25,592.142761,727368
05-01-2016,623,635.950012,619.849976,624.599976,595.335754,1466066
06-01-2016,620.049988,624.099976,610,613.075012,584.35083,1178150
07-01-2016,609.5,609.525024,587.5,598.724976,570.673096,1954754
08-01-2016,599.5,604.174988,595.849976,599,570.935242,3530992
11-01-2016,594,594,577.049988,581.299988,554.064514,2263750
12-01-2016,582,593.474976,578.025024,590.950012,563.26239,1162522
13-01-2016,593.549988,607.224976,588.450012,602.525024,574.295044,1652518
14-01-2016,596.549988,599.900024,576.299988,594.275024,566.431641,1620082
15-01-2016,599,599.775024,585,588.599976,561.022522,925828
18-01-2016,586.849976,593.549988,578.075012,582.825012,555.518066,1228894
19-01-2016,583.400024,583.400024,566.775024,576.25,549.25116,2012000
20-01-2016,569,580.299988,550.5,575.375,548.417175,2616840
21-01-2016,577.5,581.700012,566.099976,569.349976,542.674438,1634526
22-01-2016,571.25,602.5,570.424988,599.450012,571.364136,1505188
25-01-2016,603,609.025024,587.099976,589.150024,561.546692,1650040
27-01-2016,589.700012,598.900024,575.099976,588.349976,560.784241,2116716
28-01-2016,588.75,606.674988,588.75,602.075012,573.86615,1347616
29-01-2016,606,620,601.150024,616.625,587.734436,2034158
01-02-2016,613,619.200012,603.924988,613.174988,584.446106,1027972
02-02-2016,613.974976,620.650024,600,603.325012,575.057617,1032894
03-02-2016,597.400024,614,595,601.5,573.318115,1042488
