Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,4024,4035.649902,3987.050049,4009.300049,3797.194092,306048
25-06-2015,3984,4043.699951,3983.600098,4031.5,3818.219727,240888
26-06-2015,4026,4077.399902,4006.149902,4069.949951,3854.635742,291925
29-06-2015,4020,4025.75,3961.100098,3993.300049,3782.040527,344044
30-06-2015,3985.25,4060,3985.25,4023.350098,3810.500977,340789
01-07-2015,4034.899902,4089.850098,4026,4031.699951,3818.408936,380963
02-07-2015,4031.5,4049,3981.149902,3993.399902,3782.135254,322025
03-07-2015,3993.399902,4020,3977.100098,3998.899902,3787.344482,279389
06-07-2015,3984.899902,4005,3975.050049,3987.949951,3776.973877,332811
07-07-2015,3989,4003.800049,3955.699951,3972.149902,3762.009766,287981
08-07-2015,3950,3969,3907,3949,3740.084473,252360
09-07-2015,3950,3967.899902,3928.5,3935.649902,3727.44043,128065
10-07-2015,3949.699951,3962,3918.899902,3934.399902,3726.256836,184572
13-07-2015,3958.699951,4040,3940,4035.25,3821.771484,335198
14-07-2015,4049.699951,4058.949951,4020.149902,4050.649902,3836.356689,251002
15-07-2015,4071,4179.950195,4071,4152.149902,3932.486572,551469
16-07-2015,4166,4190,4156,4178.149902,3957.111572,321651
17-07-2015,4186,4228.950195,4164.100098,4193,3971.175537,241023
20-07-2015,4208,4219,4161.100098,4176.049805,3955.12207,207897
21-07-2015,4176.950195,4194.950195,4141.450195,4152.850098,3933.149658,146004
22-07-2015,4139.799805,4199,4134,4191.149902,3969.423584,305466
23-07-2015,4198.899902,4245.5,4193.049805,4234.049805,4010.053955,229845
24-07-2015,4237.950195,4261.899902,4205.399902,4234.200195,4010.196533,226189
27-07-2015,4241.549805,4241.549805,4166.600098,4178.100098,3957.064209,220316
28-07-2015,4207.899902,4242,4151.600098,4196.950195,3974.91748,940179
29-07-2015,4224.899902,4309.5,4171.200195,4273.700195,4047.607178,819323
30-07-2015,4310,4318,4281.049805,4296.450195,4069.152832,294361
31-07-2015,4297,4359,4284.200195,4331.450195,4102.301758,297226
03-08-2015,4380,4439,4380,4427.049805,4192.843262,341893
04-08-2015,4449,4453.950195,4411.450195,4438.799805,4203.972168,313075
05-08-2015,4457,4484,4422.25,4471.649902,4235.084473,198485
06-08-2015,4461,4478.350098,4430.049805,4452.100098,4216.568848,184121
07-08-2015,4450.700195,4468.200195,4430.100098,4452.950195,4217.374512,144268
