Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,497.5,503.225006,493.325012,495.450012,476.230316,8504668
25-06-2015,493.5,504.5,492.5,502.274994,482.790558,12423550
26-06-2015,499.950012,507.049988,497.700012,500.350006,480.940247,9585314
29-06-2015,493.950012,496.924988,486,495.424988,476.206268,9220564
30-06-2015,494.950012,501.424988,494,500.049988,480.651886,10599340
01-07-2015,500.5,505.225006,500.5,502.825012,483.319214,6777156
02-07-2015,504.5,509.875,503.549988,505.424988,485.818359,7283210
03-07-2015,504.875,506.899994,501.524994,503.600006,484.064148,6323112
06-07-2015,498.049988,509.450012,497.600006,507.774994,488.077179,5594680
07-07-2015,505.5,508.299988,500,501.625,482.165771,5163694
08-07-2015,497.924988,504.350006,495.825012,498.299988,478.969727,6944656
09-07-2015,498,500.5,491.575012,493.700012,474.548187,7427064
10-07-2015,495.549988,502,495.125,500.899994,481.468903,7365212
13-07-2015,500.899994,506.25,497.575012,503.5,483.968018,4507774
14-07-2015,504.450012,505.75,497.600006,498.899994,479.546478,4545572
15-07-2015,499.875,507.200012,499.774994,505.575012,485.962524,6186792
16-07-2015,506,513.900024,505.575012,511.850006,491.99411,6790884
17-07-2015,512.625,515.575012,509,510.850006,491.032898,4660876
20-07-2015,513.900024,514.974976,508.950012,512.375,492.498718,2902254
21-07-2015,514,514.224976,501.375,503.899994,484.352509,3622284
22-07-2015,502.5,526.974976,502.299988,525.200012,504.826263,7913294
23-07-2015,526.75,533.924988,520.599976,522.650024,502.375183,8522914
24-07-2015,524,524.825012,510.549988,512.525024,492.642944,5988726
27-07-2015,512.450012,514.950012,500.875,502.674988,483.175018,9197526
28-07-2015,504.149994,508.350006,500.049988,505.125,485.529999,6118202
29-07-2015,504.75,506.350006,496.049988,498,478.681366,6761866
30-07-2015,500.049988,504,496.149994,500.075012,480.675903,5349408
31-07-2015,500,503.950012,495,500.924988,481.49292,7604624
03-08-2015,500.5,506.924988,499.700012,501.225006,481.781281,4520364
04-08-2015,501.700012,502.825012,490,494,474.836548,5489138
05-08-2015,494.125,500.399994,492.049988,493.875,474.716431,6558056
06-08-2015,495.5,496,488.75,489.475006,470.487091,3981022
07-08-2015,489.5,497,488.575012,492.174988,473.082367,3935694
