Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,438.700012,438.700012,428.100006,430.600006,430.42569,7081258
25-06-2015,433,436.100006,429.5,432.399994,432.224945,7745469
26-06-2015,435,438.799988,431.200012,437.600006,437.422852,5009173
29-06-2015,428.799988,432.5,418.149994,428.25,428.07663,7143044
30-06-2015,428,436.25,422.700012,434.149994,433.974243,6387312
01-07-2015,436.75,447.399994,431.399994,444.5,444.320038,6054910
02-07-2015,445,445,435,436.399994,436.223328,4641851
03-07-2015,436,436,430.450012,433.149994,432.97464,3709457
06-07-2015,428,433.5,420.700012,431.100006,430.925476,4600687
07-07-2015,434.350006,435.700012,428,431.549988,431.375275,5667938
08-07-2015,424,424,400,404.950012,404.786072,15521757
09-07-2015,400.149994,403.350006,394.25,397.799988,397.638947,9351601
10-07-2015,400.25,405.799988,398.049988,401.899994,401.737305,13661389
13-07-2015,406.700012,406.700012,397.049988,402.100006,401.937225,8047912
14-07-2015,403.5,403.5,380.950012,385.950012,385.793762,11333562
15-07-2015,387,395,382.600006,394.299988,394.14035,15561638
16-07-2015,394.899994,398.649994,392.450012,395.25,395.089996,5199913
17-07-2015,395.950012,403.25,390.399994,398.049988,397.888855,6590110
20-07-2015,399,401.899994,389.299988,390.75,390.591797,5777196
21-07-2015,391.799988,393.299988,386.100006,389.100006,388.942474,6461958
22-07-2015,388,392.799988,385.950012,389.549988,389.392273,5955109
23-07-2015,388.75,403.399994,385,401.350006,401.187531,9510349
24-07-2015,397.549988,399.350006,389,390.25,390.09201,7059848
27-07-2015,384.25,385.25,373,377.450012,377.297211,8450904
28-07-2015,373,374.899994,366.100006,370.100006,369.950165,10975840
29-07-2015,373.899994,379.950012,372.700012,376.450012,376.297607,9532212
30-07-2015,381.649994,382.5,376,377.450012,377.297211,6562559
31-07-2015,380.799988,390.5,380.049988,383.850006,383.694611,6947628
03-08-2015,386.350006,394.399994,382,388.200012,388.042847,6647982
04-08-2015,385.899994,387,378,380.75,380.595856,5621275
05-08-2015,378.75,388.5,375.100006,376.399994,376.24762,8298929
06-08-2015,376.5,384.700012,373.200012,383.100006,382.944916,7976356
07-08-2015,382.399994,396,382.399994,393.399994,393.240723,10706804
10-08-2015,384,395.299988,382.100006,385.700012,385.543854,14494111
11-08-2015,387.100006,388,367.549988,369.149994,369.000549,9984809
12-08-2015,365,365.850006,353.549988,355.200012,355.056213,11107801
13-08-2015,356.899994,360.950012,348,349.399994,349.258545,11147702
14-08-2015,351.450012,359.75,345.100006,355.25,355.106171,6400810
17-08-2015,354.399994,362.299988,345.25,356.100006,355.955841,5812093
18-08-2015,355.850006,358.350006,347.700012,348.600006,348.458893,5623977
19-08-2015,348.700012,354.899994,344,351.25,351.107788,6435894
20-08-2015,348,349.700012,341,342.200012,342.061493,7789676
21-08-2015,339.399994,339.399994,327.75,332.399994,332.265442,8793065
24-08-2015,317,317,301.600006,308.25,308.125214,14753473
25-08-2015,308,331.350006,305.799988,328.850006,328.716888,13398318
26-08-2015,322,341.399994,318.25,335.100006,334.964355,13781660
27-08-2015,338.399994,342.549988,327.25,334.049988,333.914764,17224851
28-08-2015,342,342,335.25,340.049988,339.912323,7123909
31-08-2015,340,348.75,332.450012,340.149994,340.012299,7244287
01-09-2015,334.950012,339.350006,325.100006,329.899994,329.766449,8606005
02-09-2015,328.850006,332.5,321.450012,324.450012,324.318665,8097313
03-09-2015,326.200012,339.799988,326.200012,333.549988,333.414948,8138855
04-09-2015,330,330.799988,316,322.899994,322.769287,6592654
07-09-2015,327.799988,333,320,322.850006,322.719299,5357928
08-09-2015,326,333.25,316.299988,330.899994,330.766022,6729868
09-09-2015,335.350006,350.700012,333.600006,344.899994,344.760376,8833492
10-09-2015,340.049988,356.450012,331,354.100006,353.956665,9872906
11-09-2015,354.899994,358.899994,342.25,344.600006,344.46051,8569963
14-09-2015,348.899994,350.899994,342.25,346.799988,346.659576,5480940
15-09-2015,345.950012,345.950012,333.049988,334.350006,334.214661,5802405
16-09-2015,337.700012,340.399994,332.5,338.049988,337.913147,5708786
18-09-2015,329.200012,333.799988,326.850006,330.25,330.116302,14893326
21-09-2015,326.850006,334.899994,325.649994,331.700012,331.565735,5172386
22-09-2015,332,333.600006,314,315.799988,315.67215,7122834
23-09-2015,311,312.549988,306.25,310.299988,310.174377,8954516
24-09-2015,309.700012,312,301.600006,303.399994,303.277161,13799813
28-09-2015,304.399994,304.399994,283.5,285,284.884613,13577316
29-09-2015,281.200012,294.799988,279.100006,288.75,288.633118,12304403
30-09-2015,289.25,299.75,288.100006,298.600006,298.479126,12926187
01-10-2015,301.450012,301.5,291.5,297.75,297.629456,7501080
05-10-2015,302.5,322.100006,302.5,315.149994,315.0224,14527820
06-10-2015,320.549988,334.700012,319.549988,333.700012,333.564911,18806867
07-10-2015,333.899994,345,329,341.350006,341.211823,17802539
08-10-2015,343.799988,347.299988,341.549988,343.25,343.111053,12085332
09-10-2015,346.200012,359.200012,341.100006,356.450012,356.305695,11635790
12-10-2015,356.5,367,356.399994,362.350006,362.203308,10509775
13-10-2015,360,365.25,355.049988,361.100006,360.953827,9969583
14-10-2015,358.75,360.25,351.100006,352.299988,352.157379,7009418
