Date,Open,High,Low,Close,Adj Close,Volume
24-06-2015,209.25,213,208.875,212.024994,194.832504,3796081
25-06-2015,211.313004,211.462997,206.156006,207.056,190.266418,5866617
26-06-2015,207.787994,210.505997,207.787994,209.494003,192.506744,2085623
29-06-2015,207.412994,208.106003,203.343994,207.149994,190.352814,2238607
30-06-2015,207,207.955994,204.375,205.013,188.389114,4186942
01-07-2015,204.018997,208.5,202.968994,207.281006,190.473206,3212361
02-07-2015,208.481003,210.188004,205.893997,208.406006,191.506958,2681276
03-07-2015,207.524994,207.899994,205.5,206.080994,189.370468,2289495
06-07-2015,204.205994,206.906006,203.888,206.268997,189.543243,1933820
07-07-2015,207.563004,210.863007,207.263,207.675003,190.835236,2082559
08-07-2015,206.662994,209.531006,205.875,207.281006,190.473206,2597991
09-07-2015,207.263,208.669006,203.718994,204.337997,187.768829,1832215
10-07-2015,206.25,207.899994,204.580994,205.744003,189.060837,2969737
13-07-2015,205.912994,210.75,205.912994,209.869003,192.851334,2415575
14-07-2015,209.063004,212.774994,208.462997,212.024994,194.832504,1646956
15-07-2015,213,217.425003,212.455994,216.656006,199.088013,4358142
16-07-2015,217.087997,218.25,214.574997,215.738007,198.244446,2318866
17-07-2015,216.375,217.462997,211.949997,213.130997,195.848816,2517087
20-07-2015,211.5,214.763,210.75,213.225006,202.588974,1995631
21-07-2015,212.830994,219.412994,212.755997,216.225006,205.439346,4171932
22-07-2015,217.5,220.725006,216,219.225006,208.289688,2737463
23-07-2015,220.350006,222.675003,215.494003,220.893997,209.875412,5945099
24-07-2015,218.643997,219.75,211.949997,212.531006,201.929596,6022694
27-07-2015,211.875,213.656006,209.906006,210.619003,200.112961,2633751
28-07-2015,210.563004,210.843994,207.563004,208.744003,198.331497,4132929
29-07-2015,208.875,213,208.856003,211.819,201.253082,3004145
30-07-2015,213,213.638,208.388,210.75,200.237427,2789031
31-07-2015,211.125,214.5,211.106003,213.694,203.034561,3523551
03-08-2015,214.125,215.962997,213.375,213.899994,203.23027,1727642
04-08-2015,214.087997,214.087997,209.063004,209.944,199.471634,3893297
05-08-2015,210.468994,216.75,209.944,215.755997,204.993729,2848215
06-08-2015,217.125,217.406006,213.375,214.350006,203.657852,2511484
07-08-2015,214.350006,215.962997,212.268997,213.412994,202.767578,2109964
10-08-2015,213.018997,215.044006,210.037994,211.294006,200.754288,1927282
11-08-2015,212.25,212.794006,208.143997,212.306,201.71579,3336465
12-08-2015,210.843994,217.988007,210.843994,216.656006,205.848831,3661985
13-08-2015,216.580994,217.313004,212.175003,214.199997,203.515335,2755460
14-08-2015,214.199997,216.675003,212.494003,215.718994,204.958557,2284111
17-08-2015,215.925003,217.125,213.319,215.944,205.172363,1106431
18-08-2015,216.638,220.313004,213.188004,214.181,203.497299,3739959
19-08-2015,215.138,220.031006,214.5,219.281006,208.342896,2907489
20-08-2015,219.375,219.880997,215.156006,216.281006,205.492554,3211977
21-08-2015,215.550003,216.375,211.388,216,205.225555,3692633
24-08-2015,213.356003,215.25,201.037994,204.130997,193.948578,5942430
25-08-2015,206.005997,206.813004,198.113007,202.988007,192.862625,7648638
26-08-2015,204.337997,208.725006,203.662994,206.606003,196.30014,5522003
27-08-2015,209.044006,209.044006,204.975006,206.755997,196.442657,6428771
28-08-2015,207.863007,212.044006,207.130997,211.350006,200.807495,2857457
